,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
196503,4.6344,2.9515,2.3653,2.4274,1.472,0.0782,1.4858,-1.2874,2.5345,0.2382,0.3661,0.9296,0.3798,1.1103,-0.8233,0.7673,-0.4574,-0.9248,0.8178,-1.5192,0.7032,-0.9058,-1.7707,-0.2776,-2.6806
196504,2.7272,5.4482,6.1392,6.6923,5.8978,4.2425,4.2522,2.6497,4.8676,3.9697,2.8759,4.5938,3.5466,4.3457,4.592,4.6201,3.0705,2.9418,4.4647,3.6194,2.9243,2.0624,2.5261,2.194,4.5252
196505,0.0045,0.159,-1.362,-1.7121,1.6971,0.0092,0.2684,-1.4065,1.8609,0.321,0.7419,-1.4588,0.4335,-0.4833,-1.2282,-1.2621,-0.9288,-1.0135,0.6882,0.0222,0.1849,-0.2836,-0.9478,-0.3246,0.5664
196506,-10.3267,-8.8543,-7.8764,-9.2091,-10.3022,-9.3792,-8.1938,-6.3855,-9.1719,-9.9207,-8.7731,-8.2188,-6.8968,-8.5427,-9.2419,-7.8803,-6.863,-6.6895,-7.6622,-7.3107,-5.3845,-4.4952,-3.8052,-4.9586,-7.8332
196507,2.2687,3.6042,1.9552,4.1003,2.9772,4.0835,3.4651,1.9073,2.8283,2.3113,6.3132,3.5497,1.228,3.1298,2.8781,2.3618,3.3525,3.215,2.3249,3.394,3.0887,0.7163,2.0337,1.2766,3.0645
196508,4.2642,1.464,4.3023,3.3985,5.0739,5.3014,5.1873,4.5285,5.32,5.1333,9.3783,7.1893,3.2195,7.0596,6.3446,4.0241,2.7325,3.9538,5.9785,5.061,2.3261,1.7465,3.1584,3.5658,5.8774
196509,3.5758,3.7078,2.4131,4.9068,2.0707,3.8455,4.5541,3.618,3.5231,2.332,3.6681,4.1648,2.51,3.921,3.8032,2.56,1.544,3.1173,3.3038,5.548,4.7767,1.6493,3.1607,2.5445,3.182
196510,9.1817,6.6117,5.4961,8.1959,7.7046,7.9356,3.5643,3.5452,2.9157,7.5696,3.7756,3.976,8.5799,6.0274,6.2978,3.5536,1.5979,3.6643,3.7251,5.4457,3.949,2.077,1.7761,3.0894,3.1411
196511,9.3621,6.1583,6.2996,7.3848,7.1887,4.6872,2.3281,2.7487,4.9233,4.8589,7.1215,6.2372,1.3069,2.301,3.9439,0.8938,0.9795,4.4211,5.0343,4.3682,1.9673,-0.5248,0.7993,0.7536,4.2648
196512,6.5448,4.0155,6.0805,6.3802,7.3239,5.5081,6.9535,6.4011,2.2331,4.2662,1.9135,3.0197,1.8143,4.7697,3.9473,2.1402,3.3905,3.5511,0.1883,2.842,-0.0726,0.8441,0.5169,2.0798,3.514
196601,10.6883,8.5509,11.2913,7.6041,7.6888,6.601,6.3288,2.9975,7.5279,4.4592,3.5192,4.3224,3.7483,4.138,3.151,2.9891,1.1808,1.4851,3.3086,4.1848,4.374,-1.2585,0.8749,1.1615,3.4319
196602,7.8379,3.0416,3.998,4.9291,6.8315,3.36,-1.1464,2.1141,3.7273,0.9914,2.638,1.1253,0.7445,1.3091,3.1077,-2.1512,-0.802,0.7017,-0.1506,2.115,-2.9798,-2.4818,-2.0423,-2.3323,2.0072
196603,2.0165,-1.5602,-1.4519,-0.8391,-0.501,-2.4687,-4.2241,-0.3055,-0.9511,-5.639,-3.4362,-0.3543,-3.8259,-1.3427,-3.6412,0.1027,-2.3064,-3.2319,-0.2863,-2.7115,-1.4944,-1.0335,-2.5507,-0.2058,-0.4468
196604,5.9004,6.8132,4.5825,8.0142,6.1092,5.0154,7.306,4.2677,5.4426,3.0789,4.4404,3.4506,3.0606,3.2649,5.5166,1.366,1.5405,3.5769,5.3629,4.7926,2.5001,0.4962,1.4947,2.2519,2.9793
196605,-11.8331,-10.3827,-9.2744,-11.0113,-11.4377,-10.5319,-8.3371,-7.7324,-10.0424,-8.0696,-8.7136,-7.6537,-8.1225,-6.3109,-8.0436,-5.9338,-5.0274,-6.839,-5.9534,-6.0133,-4.5744,-3.5287,-4.9553,-4.3838,-5.5627
196606,-1.0847,0.1114,-0.6596,0.8568,-0.417,0.7418,0.6086,0.6722,1.6308,-2.1565,0.2738,2.1399,-1.509,0.8462,-2.2686,0.6696,-0.5759,-0.4756,-0.8999,0.7212,-0.711,-0.4101,-1.6709,-1.554,-0.9921
196607,-2.1125,-0.1697,-2.4658,-2.0428,-1.2242,-1.2329,-3.2901,-0.3049,-1.0512,-2.9828,-0.7107,-1.4157,-0.8737,-1.6431,-1.1592,-1.2506,-0.963,-2.4772,0.4563,-3.9829,-0.0778,-0.353,-0.6169,-1.8939,-1.0861
196608,-10.9925,-10.2692,-10.4934,-11.4721,-11.8056,-10.9503,-11.2532,-7.796,-9.7119,-11.2663,-7.4753,-7.6478,-8.5689,-8.9361,-11.9266,-9.0312,-8.1204,-8.1414,-7.1274,-9.5269,-6.4788,-7.1824,-8.6728,-7.293,-9.1001
196609,-1.5723,-1.8823,-1.1457,-3.0126,-2.3884,-1.285,-1.973,-2.8588,-1.4382,-1.5339,-1.5372,-1.2318,-1.4339,-2.1129,-3.659,0.9911,-0.437,-1.0523,-2.5108,-3.937,-0.1371,1.3332,0.5702,-2.9408,-3.9605
196610,-6.1003,-2.1487,-3.1001,-3.4065,-5.7911,-0.6138,-1.7861,0.0063,-1.487,-2.9098,0.6088,3.4249,3.1535,2.358,-0.1758,4.7952,3.9688,2.0227,1.0733,-2.5164,5.7451,7.1844,5.2718,2.2878,3.5039
196611,2.7788,1.8259,2.2171,4.8573,5.018,3.2431,2.4625,2.3718,2.9837,7.1361,5.3267,2.6302,3.1235,5.2332,9.5088,0.7899,1.4566,2.3773,6.4107,12.3011,1.0812,0.8824,2.0333,3.4378,8.4691
196612,0.602,2.0151,1.8635,0.3183,2.7528,2.5945,0.7734,0.5999,0.8494,2.3783,1.8417,-0.2533,4.4408,1.6296,4.4811,2.6161,2.9756,1.9506,2.9844,1.9904,2.043,0.29,2.05,1.0363,1.2727
196701,22.863,19.7838,19.2069,24.0134,21.8611,17.8146,17.6777,16.4637,17.9767,21.6793,11.6701,14.1389,13.0441,14.1398,18.5817,12.6579,7.9468,11.3574,9.6379,14.5274,7.1253,6.5896,7.2362,9.396,8.9498
196702,9.666,4.3763,6.3398,5.9312,9.0057,3.0162,1.9928,5.8815,1.285,1.5362,0.9998,3.0981,3.124,-1.4123,0.2967,-0.8567,0.8391,-0.7697,2.3131,2.7255,-0.5227,-1.1291,-0.1376,2.2131,2.5265
196703,5.1189,7.3099,6.262,6.7319,6.3328,6.4652,6.3356,3.9799,7.353,6.5043,3.6449,4.3231,6.0767,10.2712,6.5491,3.0082,4.3964,5.3841,6.396,7.0194,3.7612,2.4296,4.8752,5.552,3.3407
196704,5.1733,5.2016,2.4739,5.6948,4.6325,4.5425,1.5156,6.305,3.5614,5.0054,3.7266,1.7537,5.2041,4.6426,4.9281,2.5745,3.7871,5.2362,5.2686,6.095,1.5964,2.2009,3.006,5.3543,4.4362
196705,0.6137,-0.0168,-0.186,0.8688,1.0954,-0.8951,-2.4667,-1.9174,-1.0511,-1.5115,-0.1079,-1.5737,-2.8672,-2.0813,-3.5262,-3.6067,-3.157,-0.4721,-3.1244,0.1981,-3.2086,-3.2767,-4.1826,-4.3263,-6.3045
196706,13.1594,12.2293,8.1811,14.1205,13.3827,6.3374,6.6135,9.6188,5.3219,8.2027,2.639,4.3338,6.7297,3.4998,6.8352,2.0371,1.1603,4.6992,5.9595,3.7823,1.8234,0.8705,1.6216,0.2942,3.0288
196707,12.9491,9.1483,8.5024,8.7034,10.0951,9.5153,8.3062,9.455,6.4233,9.1574,7.6698,8.5254,5.6386,6.2434,3.6913,7.9831,5.5331,4.6922,4.3288,6.6094,5.7852,3.0361,6.1805,5.4425,5.7935
196708,2.8431,0.5303,2.6627,-0.1569,-0.1537,-0.3424,1.0332,-0.8948,-0.3226,-1.7659,2.1458,0.9933,0.9258,0.1874,-2.7311,-0.0669,0.2299,0.9406,-1.8149,-1.6116,-0.0337,-0.4539,-0.4951,-0.4896,-1.1528
196709,9.6691,6.4229,8.8422,10.6132,9.6243,4.8263,6.0543,3.4926,4.417,4.8744,1.2043,2.4807,2.9469,4.1286,4.8494,1.3326,1.5264,3.4016,3.5766,3.8215,2.5884,1.5238,2.2297,3.2783,2.2958
196710,1.0322,-2.2764,0.5037,-2.2038,-1.2588,-4.5952,-1.1165,-3.3193,-0.6536,-4.4385,-4.3481,-2.7808,-3.3073,-3.6656,-3.3133,-6.2056,-3.6665,-2.2245,-4.8872,-5.5355,-5.649,-6.2286,-4.4934,-4.2308,-0.0972
196711,-2.2453,2.1403,-1.6357,-0.726,0.4139,-1.633,0.0607,1.4857,-0.0638,2.3569,-0.9955,-1.5708,0.9623,2.1593,1.4533,0.8083,0.5677,1.5688,1.5783,1.8832,-0.6625,0.233,1.5467,-0.1404,1.505
196712,12.861,7.3156,10.0449,11.4803,11.186,5.7576,8.629,4.4532,10.4563,8.3639,5.5745,6.5481,2.9066,5.9062,8.7555,5.646,3.763,3.0555,1.5993,2.8578,1.7868,4.1933,3.4116,3.4755,2.1741
196801,8.8034,6.6914,5.7499,4.9738,2.7729,4.2109,3.1211,-0.5093,0.6948,-3.4283,3.1117,1.5044,0.7355,-6.1276,-4.9685,2.7317,-1.951,-2.8034,-4.8259,-7.3648,0.1058,-1.2746,-3.2253,-5.6756,-9.3561
196802,-6.973,-6.1989,-6.4744,-7.2779,-8.4037,-2.9021,-7.522,-2.5298,-5.8627,-7.223,-2.791,-1.9079,-3.7026,-6.3038,-6.3243,-2.1832,-1.1861,-5.8949,-6.762,-5.3487,-0.8847,-2.1888,-3.1944,-3.7123,-3.9217
196803,-0.6257,-1.1305,-1.6917,-1.9578,-2.7616,-0.6239,-1.9914,-2.1883,-2.0728,-0.6331,-2.3081,-0.4548,0.4069,0.4158,0.0008,-2.1619,-0.6189,-0.0899,0.3042,-0.3517,-0.898,-1.127,0.4455,-0.1997,2.9221
196804,17.9993,16.7208,14.3662,18.3204,19.4236,13.4179,13.2139,10.1011,13.8792,17.6087,10.2827,9.438,11.0301,13.819,15.5382,7.6951,8.4651,8.9431,11.4846,13.7488,7.5132,5.4604,8.5374,11.8731,10.5646
196805,15.1498,15.2122,10.9688,10.2925,13.4054,6.848,8.0987,8.7173,9.99,8.3057,6.1306,3.1602,3.7877,9.9797,7.9124,1.021,1.43,3.3474,5.9892,5.4714,2.251,1.0316,0.9267,2.2361,2.2353
196806,1.1295,3.9384,2.7178,1.9853,-0.2631,2.3547,1.6116,-0.0743,-1.2111,1.0415,3.0822,3.9806,2.2565,-1.0068,-1.4312,5.4572,3.4458,4.5642,0.3168,-1.4001,2.3336,4.5721,2.0083,0.4794,0.1615
196807,-0.8769,-2.4937,-3.6916,-2.755,-4.5513,-1.8577,-1.0706,-3.5419,-3.8801,-6.8941,-3.5328,-1.5461,-2.8375,-5.3753,-5.175,-3.5403,-2.4449,-2.3766,-4.658,-6.001,-1.4031,-1.7448,-2.6489,-1.7012,-5.2569
196808,5.7233,3.8963,3.5721,3.6618,3.1919,4.2095,4.0887,3.0076,3.1561,2.9021,3.4448,2.8888,2.7629,4.1365,4.4476,3.6474,2.839,3.4401,1.1742,0.1439,2.402,1.1063,0.4363,1.5175,1.4961
196809,9.2074,6.6432,8.7331,6.9974,8.0769,5.4375,4.8698,6.8758,8.2381,7.0171,6.5562,3.7243,4.6923,5.8406,8.9099,6.7344,4.8484,3.8633,7.8343,8.7156,7.6654,3.981,2.9041,5.4009,3.4785
196810,0.3962,0.0819,-0.3657,1.7338,-1.2281,0.7546,-0.257,1.4973,0.1169,1.5042,1.1811,4.6201,2.3406,3.2896,-1.9368,4.8539,-0.1103,1.7625,0.2103,-1.3582,2.4111,1.1212,1.3183,0.8071,1.4344
196811,5.8504,6.5738,6.7989,6.5469,6.908,8.4109,7.4835,9.001,7.6316,9.7687,9.4437,8.191,7.9198,6.4679,9.6554,6.3288,6.7913,8.2468,6.3116,9.0614,5.8606,6.4343,5.8971,6.5391,7.4318
196812,5.7719,0.0303,0.34,0.9606,3.2616,-0.461,-1.9548,-0.9264,-1.4818,-0.0468,-1.3794,-1.754,-2.3676,-2.6419,-2.3441,-1.6743,-4.1883,-3.0917,-3.148,-3.1015,-1.2463,-2.1136,-2.8943,-3.6712,-3.9704
196901,0.9075,0.5525,-0.7443,-1.123,-0.8264,-0.2532,-0.2589,-0.0716,-1.1116,-2.2919,-2.4599,-0.175,-0.0319,-0.8108,-4.0281,-1.315,0.6699,1.0257,-0.2841,-3.6421,-0.8722,-0.2486,0.8411,-0.3912,-2.3841
196902,-10.8704,-8.4318,-9.1452,-9.5682,-11.3827,-9.5201,-4.9606,-7.2675,-7.7249,-10.4855,-6.5121,-6.5784,-7.2088,-6.6404,-9.923,-3.7421,-6.6464,-6.5137,-6.2739,-9.3769,-5.6346,-5.3672,-4.9415,-4.541,-6.0514
196903,2.612,1.9149,1.528,1.2307,2.2813,0.7287,2.0355,3.6661,4.1849,2.0146,2.3043,1.5836,1.2638,2.2854,2.7225,1.6999,1.8392,1.536,1.0694,2.8414,0.8044,1.6826,2.7876,3.1644,1.5938
196904,-0.5189,0.9632,-0.1125,-1.5253,-1.2348,1.7337,2.6619,-0.0426,0.4082,0.0642,0.2989,3.5516,1.2124,2.4748,0.1975,1.2635,1.0479,0.011,2.2809,1.3959,1.4708,3.0967,1.6702,1.5072,2.4868
196905,2.8338,1.5611,0.8927,1.5096,-0.3704,0.0091,-1.0982,-0.4638,-1.5524,-3.3477,-0.6903,-0.5852,1.2683,0.6843,-1.9093,0.9229,-0.8862,1.7103,-0.6365,-1.0905,-1.5217,0.7805,0.9969,-0.6981,-1.828
196906,-13.6374,-13.2197,-12.0337,-13.6848,-14.5524,-12.3128,-8.7521,-11.0366,-11.8571,-10.1791,-10.653,-8.5549,-7.7484,-11.2005,-11.9146,-7.1746,-7.9517,-7.9539,-7.4808,-10.0573,-8.4186,-5.7103,-6.5145,-6.3095,-6.906
196907,-10.5997,-10.5696,-9.9365,-12.9747,-12.6016,-7.0745,-6.7393,-9.1911,-8.4474,-12.1045,-5.9582,-6.5494,-8.0882,-7.246,-11.7442,-6.389,-7.0909,-5.3033,-7.7995,-8.6778,-6.7148,-5.6479,-5.922,-5.0158,-6.8569
196908,3.4131,3.5546,3.3355,5.4777,4.7055,4.0758,4.6087,3.0498,6.2539,7.8843,4.9365,4.5785,5.9945,6.9259,12.6706,4.0113,4.1626,5.7372,5.6346,8.99,3.868,2.7452,4.9861,5.4741,7.2171
196909,-3.371,-4.5414,-2.5851,-3.7712,-4.0267,-0.3218,-1.7583,0.9185,-0.0174,-1.0371,-1.736,-0.2477,0.1748,-1.5491,-1.272,-1.1642,-3.0782,-2.1581,-0.8855,-0.7174,-3.6275,-3.0639,-2.1483,-1.1844,-0.942
196910,10.7403,11.6098,9.7468,13.7073,13.2577,7.0039,6.3555,7.9185,6.7134,13.1721,9.8521,5.0684,8.1981,6.3045,9.1784,7.64,7.367,7.1249,5.3789,10.7201,4.1118,6.6982,7.4777,5.948,5.9919
196911,-6.8207,-6.9635,-4.6,-7.0035,-8.7837,-3.5418,-5.1536,-5.367,-3.2873,-6.4474,-5.6189,-3.023,-5.2191,-5.0556,-6.255,-3.7332,-4.8561,-3.4135,-3.826,-3.4176,-4.0193,-3.9151,-3.9379,-2.3511,-1.9667
196912,-11.6162,-8.9639,-7.0921,-9.4457,-9.2967,-8.8167,-5.7705,-3.575,-5.0928,-7.3808,-2.7358,-3.1378,-3.771,-2.0541,-4.2132,-1.2785,-2.3785,-2.9884,-1.0184,-1.0077,-3.8543,-1.9278,-1.1294,-1.1689,-3.0664
197001,2.1734,-1.2305,-0.8134,-3.3155,-2.9281,-2.7018,-1.6622,-7.1146,-2.7041,-8.0856,-7.322,-2.5872,-5.107,-6,-11.1257,-8.1434,-7.3534,-5.6442,-7.459,-11.9212,-7.2375,-4.2994,-7.8877,-9.0678,-10.4308
197002,3.7799,4.2414,1.546,2.3925,2.01,6.5683,5.3042,0.6408,3.2797,4.1351,8.9235,3.2813,5.0276,4.0582,2.8506,7.0954,7.3635,5.8084,6.9689,2.2188,8.8359,6.7854,9.3271,5.5549,6.6578
197003,-1.8085,-2.0836,-2.1419,-4.7359,-5.4746,-0.8038,-0.0445,-1.0747,-2.1831,-4.3703,0.9549,1.9107,-0.1208,-1.1513,-5.914,1.3582,1.0515,-0.2182,0.2428,-3.3096,0.1933,0.148,-0.6174,-1.3672,-1.8407
197004,-17.6572,-16.9835,-16.3313,-19.2389,-20.5656,-13.9811,-10.4569,-13.5354,-16.3695,-23.2041,-12.1967,-8.4397,-14.0156,-14.836,-20.771,-11.1665,-9.6422,-10.9024,-13.4312,-18.1498,-8.9078,-8.0723,-9.586,-10.8943,-13.3242
197005,-8.8161,-10.3768,-7.7826,-8.6436,-9.5499,-5.1083,-7.7174,-11.5852,-10.4002,-12.6346,-8.393,-7.9455,-9.1634,-10.0571,-13.5865,-9.2175,-5.959,-10.263,-8.4429,-12.9373,-4.8526,-5.4568,-6.1126,-7.3647,-7.6403
197006,-7.6013,-7.1717,-8.0432,-7.7456,-11.2748,-7.3511,-5.9857,-4.079,-9.3844,-12.0501,-7.1553,-5.4455,-9.2537,-5.0515,-7.8238,-6.7702,-2.4804,-5.6146,-3.5136,-8.8905,-6.407,-3.341,-4.2352,-4.726,-8.831
197007,4.3856,3.5327,3.8919,4.5391,3.7336,6.9395,9.0567,5.8875,7.3324,7.3763,5.0346,5.9916,7.8673,9.5071,7.6262,10.8348,10.2546,9.9196,6.5516,5.6655,8.1708,7.7398,7.1329,7.2979,4.7797
197008,4.7161,7.6465,7.7807,6.696,6.6792,7.0836,5.3795,5.7013,9.2012,9.9729,7.5255,7.2222,6.9157,5.1628,5.4384,3.2245,5.1784,5.3753,7.1433,7.3974,5.1805,5.1661,4.0415,3.8297,6.6492
197009,17.495,13.0521,13.5809,16.236,20.7771,8.5656,9.145,11.2738,14.3453,18.8138,6.5681,6.9659,6.1482,9.1882,16.1219,6.6858,4.3572,5.6028,6.35,12.2421,2.6352,3.0373,2.7036,3.3315,7.5958
197010,-7.2269,-6.0352,-6.995,-10.1089,-10.6672,-3.6166,-5.2521,-6.3195,-5.3297,-6.122,-3.8793,-3.0539,-2.4533,-5.1635,-7.5252,-3.02,-3.3249,-2.9943,-3.0612,-5.0677,-1.988,-2.2436,-1.2854,-1.4565,-1.019
197011,-4.2493,-1.4259,-4.0283,-1.702,-4.2395,2.2385,3.8282,3.9564,3.9034,0.13,3.972,4.6071,4.1579,4.3292,2.2565,4.0569,6.9792,3.6187,5.7252,4.0722,5.7414,6.1642,5.4688,4.728,5.6729
197012,7.2275,10.7449,10.5294,9.6457,8.2776,8.696,9.4213,7.6599,10.8633,7.734,7.4731,8.924,8.6303,10.7386,8.2957,8.5934,8.1772,11.804,9.1652,7.288,8.5052,6.5182,6.4236,7.0497,3.8559
197101,21.5094,16.2385,18.3932,19.7108,18.4579,14.0682,14.7617,9.6753,11.0285,11.4588,8.5807,10.885,7.2835,8.7567,8.4025,9.5452,8.494,7.0045,7.8215,5.4708,5.3268,3.4833,4.1466,3.6306,7.5779
197102,7.2203,5.3659,5.9342,5.7514,8.499,1.9558,1.6942,3.1682,2.9246,3.8138,2.8393,2.0082,2,3.4102,3.662,0.1436,2.2813,1.9849,3.059,2.4713,1.7207,0.4442,0.4403,2.4683,1.4793
197103,6.0104,6.1651,7.1495,5.8652,6.4435,3.6492,2.284,6.1968,5.9157,6.657,5.1735,4.6166,5.9041,4.9627,10.1787,3.6769,4.2239,4.2214,5.3711,6.9784,2.7677,2.9824,3.3025,4.3176,6.6658
197104,1.7964,3.334,2.5827,1.6984,1.2387,6.0546,3.9283,4.088,0.8953,1.8224,6.1398,2.7816,2.9234,5.6044,4.3008,4.4134,3.7945,2.8258,3.6469,2.629,3.0675,3.3066,1.4568,2.3082,6.0553
197105,-6.0862,-6.2607,-3.8676,-6.8358,-7.3496,-3.5863,-4.4502,-6.6677,-6.4109,-4.6075,-3.7886,-2.9274,-3.828,-5.2766,-5.6692,-3.4859,-2.9873,-4.8749,-2.4475,-2.8565,-2.0187,-3.2947,-3.3227,-3.8077,-2.0316
197106,-3.6152,-3.0692,-1.7533,-3.6593,-3.0867,-3.0522,-2.316,-0.1516,0.3635,-0.5468,-2.7655,-0.4949,-2.1504,-1.2902,-1.7136,-1.3081,1.7143,-0.2161,-0.0467,1.2107,0.5466,-0.4933,0.7025,1.7072,0.3442
197107,-6.7772,-4.5871,-7.1715,-7.0798,-8.4414,-3.8248,-5.7662,-4.5599,-5.2323,-7.2102,-5.0352,-3.8472,-2.4936,-4.921,-7.5928,-7.1705,-4.6896,-4.1572,-3.1921,-4.8223,-6.917,-3.3626,-2.314,-4.9421,-4.2937
197108,4.1031,3.328,4.7853,5.0622,2.2165,6.9606,3.8177,5.0486,6.0162,5.7797,7.088,4.4834,3.4127,5.9231,6.5518,6.5459,6.7454,4.0241,4.0202,7.1392,9.3784,5.5521,3.3687,3.1006,3.5542
197109,-1.3936,1.1694,-2.9421,1.0589,1.0328,-2.0184,-1.753,-3.0957,-0.1314,0.7969,-0.7343,-1.6246,0.5695,-0.9129,0.6354,0.1008,-0.9895,-0.4551,-1.4038,0.5729,-2.4905,-0.553,-1.4256,-0.7465,-0.8638
197110,-6.5818,-5.9217,-6.4598,-6.8324,-7.5481,-5.1348,-5.0316,-5.0846,-4.7597,-5.8869,-7.7434,-6.9256,-4.6268,-3.5451,-6.8605,-3.9359,-5.7007,-2.4853,-2.1662,-4.6797,-4.866,-6.2516,-4.8923,-3.9102,-4.3333
